"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY 50","24,329.45","24,338.85","24,262.15","24,323.85","24,265.70","-58.15","-0.24","9,76,76,991","10,535.03","24,401.00","18,837.85","4.44","25.82"
"TATACONSUM","1,138.00","1,164.00","1,136.00","1,137.40","1,160.50","23.10","2.03","9,36,986","108.29","1,269.00","822.00","0.15","36.50"
"HINDUNILVR","2,560.00","2,590.00","2,536.25","2,547.00","2,577.60","30.60","1.20","11,29,096","290.18","2,769.65","2,172.05","-1.19","-5.60"
"NESTLEIND","2,574.15","2,620.00","2,561.45","2,574.15","2,599.80","25.65","1.00","4,10,434","106.45","2,769.30","2,145.00","2.87","-88.76"
"ITC","435.15","439.85","433.65","433.65","437.20","3.55","0.82","73,38,272","320.73","499.70","399.35","-1.25","-7.42"
"HDFCLIFE","609.00","614.50","608.75","607.35","612.10","4.75","0.78","23,37,660","142.97","710.60","511.40","7.89","-7.71"
"INFY","1,643.10","1,662.65","1,640.00","1,647.45","1,658.95","11.50","0.70","16,76,085","276.95","1,733.00","1,305.00","7.42","23.85"
"TATAMOTORS","1,005.00","1,016.60","999.00","993.65","999.15","5.50","0.55","79,20,282","799.20","1,065.60","588.55","2.39","60.73"
"BRITANNIA","5,555.00","5,615.95","5,534.05","5,546.80","5,576.00","29.20","0.53","76,594","42.75","5,725.00","4,347.70","1.52","9.74"
"ONGC","290.00","292.95","287.35","288.20","289.60","1.40","0.49","1,18,56,359","343.93","292.95","162.50","10.68","76.27"
"WIPRO","535.95","541.30","535.00","535.10","537.50","2.40","0.45","17,96,908","96.74","548.80","375.05","10.43","35.18"
"TECHM","1,461.35","1,478.95","1,461.35","1,461.35","1,467.45","6.10","0.42","2,72,072","40.01","1,498.00","1,082.30","6.08","26.41"
"BHARTIARTL","1,431.00","1,438.40","1,423.15","1,429.70","1,434.65","4.95","0.35","9,68,214","138.64","1,536.25","847.05","0.31","64.25"
"EICHERMOT","4,758.95","4,775.00","4,720.00","4,737.30","4,745.05","7.75","0.16","1,69,196","80.39","4,976.00","3,160.00","-0.52","48.75"
"HEROMOTOCO","5,565.65","5,630.00","5,508.00","5,558.05","5,566.70","8.65","0.16","1,35,620","75.91","5,894.55","2,890.00","-0.43","76.55"
"INDUSINDBK","1,428.00","1,440.80","1,422.80","1,434.25","1,436.05","1.80","0.13","12,67,585","181.77","1,694.50","1,345.15","-3.88","5.68"
"RELIANCE","3,178.00","3,191.90","3,165.05","3,177.25","3,179.70","2.45","0.08","13,66,595","434.34","3,197.00","2,220.30","8.07","20.64"
"KOTAKBANK","1,854.00","1,857.25","1,835.45","1,852.70","1,852.00","-0.70","-0.04","12,50,102","230.81","1,987.75","1,543.85","5.65","-0.04"
"APOLLOHOSP","6,380.00","6,387.95","6,305.00","6,328.55","6,320.85","-7.70","-0.12","1,09,238","69.26","6,874.45","4,726.00","5.22","22.97"
"AXISBANK","1,285.00","1,297.40","1,279.60","1,287.05","1,285.05","-2.00","-0.16","19,81,950","254.55","1,310.00","927.15","8.45","31.78"
"DRREDDY","6,520.00","6,575.00","6,503.80","6,520.00","6,503.80","-16.20","-0.25","65,087","42.60","6,575.00","5,076.25","7.57","25.81"
"M&M","2,880.60","2,918.60","2,870.00","2,880.60","2,873.40","-7.20","-0.25","7,13,788","206.56","3,013.50","1,415.75","0.81","84.16"
"HINDALCO","703.65","705.90","697.30","699.15","697.30","-1.85","-0.26","10,27,362","72.12","715.25","417.15","2.76","65.40"
"LT","3,640.10","3,645.70","3,597.95","3,627.15","3,616.95","-10.20","-0.28","6,75,351","244.56","3,919.90","2,420.00","2.68","48.09"
"SUNPHARMA","1,570.60","1,574.80","1,557.00","1,568.40","1,563.80","-4.60","-0.29","2,89,216","45.27","1,638.85","1,028.75","4.08","51.43"
"LTIM","5,421.70","5,459.65","5,400.05","5,421.70","5,405.05","-16.65","-0.31","63,200","34.29","6,442.00","4,513.55","8.93","6.01"
"POWERGRID","341.00","341.00","336.85","339.40","338.35","-1.05","-0.31","29,64,343","100.40","348.70","177.53","9.71","32.86"
"SBIN","859.75","865.00","853.50","859.75","856.95","-2.80","-0.33","56,99,555","489.93","912.00","543.20","3.59","44.84"
"NTPC","380.85","381.25","377.30","379.80","378.30","-1.50","-0.39","44,87,790","170.13","393.20","184.75","5.32","97.20"
"ICICIBANK","1,228.90","1,239.50","1,216.90","1,233.40","1,228.50","-4.90","-0.40","23,33,460","287.46","1,242.60","899.00","9.96","30.33"
"TCS","4,022.00","4,031.25","3,989.30","4,011.80","3,995.60","-16.20","-0.40","5,02,352","201.13","4,254.75","3,250.10","3.03","20.50"
"COALINDIA","492.70","493.00","487.20","491.50","489.30","-2.20","-0.45","19,52,540","95.60","527.40","226.85","2.58","110.04"
"TATASTEEL","174.60","175.47","173.50","174.71","173.74","-0.97","-0.56","1,13,43,506","197.90","184.60","111.25","-2.34","56.55"
"BAJAJ-AUTO","9,640.00","9,666.15","9,534.90","9,635.80","9,580.00","-55.80","-0.58","1,18,334","113.51","10,038.80","4,541.00","-0.92","99.33"
"HDFCBANK","1,645.30","1,654.95","1,634.00","1,648.10","1,638.45","-9.65","-0.59","98,20,342","1,614.99","1,794.00","1,363.55","4.75","-0.74"
"HCLTECH","1,528.00","1,528.00","1,506.20","1,519.40","1,510.45","-8.95","-0.59","11,31,078","171.56","1,697.35","1,087.05","6.14","31.25"
"MARUTI","12,104.00","12,112.00","12,002.40","12,104.05","12,024.40","-79.65","-0.66","1,80,669","217.53","13,073.95","9,254.15","-5.52","22.88"
"BAJAJFINSV","1,579.60","1,579.60","1,565.40","1,579.60","1,568.50","-11.10","-0.70","3,08,232","48.38","1,741.00","1,419.05","0.76","-2.19"
"CIPLA","1,516.00","1,524.65","1,498.10","1,509.90","1,498.80","-11.10","-0.74","6,85,738","103.75","1,582.00","998.05","0.84","47.94"
"SBILIFE","1,529.40","1,531.95","1,516.25","1,529.40","1,518.05","-11.35","-0.74","1,74,995","26.67","1,569.40","1,251.65","7.26","18.19"
"BAJFINANCE","7,144.95","7,147.65","7,047.00","7,138.00","7,079.95","-58.05","-0.81","3,02,600","214.41","8,192.00","6,187.80","-0.74","-6.35"
"GRASIM","2,751.70","2,754.95","2,723.20","2,748.00","2,725.55","-22.45","-0.82","81,651","22.34","2,762.70","1,733.25","15.47","57.63"
"ULTRACEMCO","11,694.00","11,714.80","11,554.90","11,690.15","11,565.90","-124.25","-1.06","54,322","63.12","12,078.00","7,987.65","11.73","40.23"
"JSWSTEEL","955.90","955.90","943.00","954.05","943.05","-11.00","-1.15","4,02,316","38.14","959.40","723.00","4.59","21.01"
"ASIANPAINT","2,935.90","2,935.90","2,890.70","2,935.90","2,901.30","-34.60","-1.18","4,02,530","116.91","3,568.00","2,670.10","0.28","-12.20"
"BPCL","304.60","307.95","302.00","306.65","302.35","-4.30","-1.40","38,55,356","117.49","343.98","165.73","-48.87","-21.70"
"SHRIRAMFIN","2,856.00","2,856.00","2,807.35","2,865.85","2,820.70","-45.15","-1.58","2,85,162","80.57","3,059.45","1,703.85","14.73","66.75"
"ADANIENT","3,147.90","3,158.20","3,095.00","3,147.90","3,095.40","-52.50","-1.67","3,92,566","122.63","3,743.90","2,142.00","-2.23","32.29"
"ADANIPORTS","1,496.00","1,501.05","1,472.00","1,500.45","1,472.50","-27.95","-1.86","10,62,855","157.80","1,621.40","708.00","8.82","108.77"
"DIVISLAB","4,629.40","4,649.65","4,471.70","4,629.70","4,480.90","-148.80","-3.21","3,19,862","144.71","4,670.00","3,295.30","2.34","26.20"
"TITAN","3,204.00","3,204.00","3,126.10","3,269.35","3,138.70","-130.65","-4.00","29,81,585","938.72","3,886.95","2,882.45","-5.07","3.99"
