,0
0,20 Microns
1,Alkyl Amines Chemicals
2,Action Construction Equipment
3,Alkem Laboratories
4,Ajanta Pharma
5,Astral Limited
6,BASF India
7,Bombay Burmah Trading Corporation
8,Balkrishna Industries
9,BLS International Services
10,APL Apollo Tubes
11,Zydus Lifesciences
12,Control Print
13,Colgate Palmolive (India)
14,Caplin Point Laboratories
15,Cera Sanitaryware
16,Cybertech Systems and Software
17,Carborundum Universal
18,Eris Lifesciences
19,Firstsource Solutions
20,Godrej Consumer Products
21,Datamatics Global Services
22,Dr Lal PathLabs
23,Godfrey Phillips India
24,Gujarat Pipavav Port
25,Gujarat State Petronet
26,HCL Technologies
27,Havells India
28,Hindustan Unilever
29,IRB Infrastructure Developers
30,Infosys
31,ITC
32,JSW Energy
33,Jubilant Foodworks
34,J. K. Cement
35,Jyothy Labs
36,JSW Holdings
37,JSW Steel
38,LG Balakrishnan and Brothers
39,Mrs. Bectors Food Specialities
40,Max Healthcare Institute Limited
41,3M India
42,Adani Ports and Special Economic Zone
43,Samvardhana Motherson International
44,NHPC
45,COFORGE LIMITED
46,NTPC
47,Dalmia Bharat
48,Oracle Financial Services Software
49,Power Grid Corporation of India
50,Pidilite Industries
51,Petronet LNG
52,Poly Medicure
53,Persistent Systems
54,Reliance Industries
55,Nippon Life India Asset Management
56,Saksoft
57,Shree Cements
58,Suprajit Engineering
59,Supreme Industries
60,Solar Industries India
61,Shriram Pistons & Rings
62,Talbros Automotive Components
63,Tata Consultancy Services
64,Tech Mahindra
65,Varun Beverages
66,eClerx Services
67,advanced enzyme technologies
68,affle (india)
69,apollo hospitals enterprise
70,asian paints
71,astral
72,jk cement
73,kajaria ceramics
74,kpit technologies
75,dr. lal path labs ltd.
76,crisil
77,cummins india
78,cyient
79,dabur india
80,divi's laboratories
81,dixon technologies (india)
82,dr. reddy's laboratories
83,gail (india)
84,gujarat gas
85,hikal
86,hindustan foods
87,lg balakrishnan & bros
88,ltimindtree
89,l&t technology services
90,lumax auto technologies
91,marico
92,mold-tek technologies
93,mps
94,oil india
95,pi industries
96,srf
97,time technoplast
98,ultratech cement
99,wipro
