,0
360 ONE WAM LIMITED,IIFLW54277
3i Infotech Limited,I11
3M India Limited,MI42
3P Land Holdings Limited,PI36
5Paisa Capital Limited,C98
63 moons technologies limited,FT02
A2Z Infra Engineering Limited,AE13
AAA Technologies Limited,ATL
Aadhar Housing Finance Limited,AE13
Aakash Exploration Services Limited,AES01
Aarey Drugs & Pharmaceuticals Limited,AE13
Aaron Industries Limited,AI79
Aartech Solonics Limited,AE13
Aarti Drugs Limited,AD
Aarti Industries Limited,AE13
Aarti Pharmalabs Limited,AP21
Aarti Surfactants Limited,ASL08
Aarvee Denims & Exports Limited,ADE
Aarvi Encon Limited,AE19
Aavas Financiers Limited,AF17
Aban Offshore Limited,AO04
ABB India Limited,ABB
Abbott India Limited,AI51
Aditya Birla Capital Limited,AE13
ABM International Limited,ABD
Aditya Birla Sun Life AMC Limited,ABS
ACC Limited,ACC06
Accelya Solutions India Limited,KAL
Accuracy Shipping Limited,AS26
Action Construction Equipment Limited,ACE3
Ace Integrated Solutions Limited,AIS
Archean Chemical Industries Limited,ACI05
Andhra Cements Limited,APP
Allcargo Gati Limited,G04
Adani Energy Solutions Limited,AT22
Adani Enterprises Limited,AE13
Adani Green Energy Limited,ADANI54145
Adani Ports and Special Economic Zone Limited,MPS
Adani Power Limited,AE13
ADF Foods Limited,AF30
Archidply Decor Limited,ADL
Ador Welding Limited,AW01
Adroit Infotech Limited,AE13
Allied Digital Services Limited,ADS01
Advani Hotels & Resorts (India) Limited,AHR
Advanced Enzyme Technologies Limited,AMD
20 Microns Limited,2M
Aditya Birla Fashion and Retail Limited,ABF
Aegis Logistics Limited,AL9
Aeroflex Industries Limited,AE13
Aether Industries Limited,AI84
Affle (India) Limited,MIL16
Akme Fintrade (India) Limited,AFIL
Agarwal Industrial Corporation Limited,AE13
AGI Greenpac Limited,AE13
Agi Infra Limited,AE13
Agri-Tech (India) Limited,ATI02
Agro Phos India Limited,API
AGS Transact Technologies Limited,AE13
Abans Holdings Limited,AH10
21st Century Management Services Limited,21C
Allied Blenders and Distillers Limited,ABD
Ahlada Engineers Limited,AE21
Asian Hotels (East) Limited,AHE01
Ahluwalia Contracts (India) Limited,ACI12
AIA Engineering Limited,AIE01
Authum Investment & Infrastructure Limited,AII01
Airan Limited,A09
Airo Lam limited,AL08
Ajanta Pharma Limited,AP22
Ajmera Realty & Infra India Limited,ARI03
Ajooni Biotech Limited,ABL01
Akash Infra-Projects Limited,AI76
Akg Exim Limited,SE25
